game_id,game_name
268008982650988,语义判断
268008982667391,声调判断
268008982663290,词语判断
224375977935045,变色魔块PRO
224377872388293,卡片分类PRO
224374703641029,快速归类PRO
268008982659192,一心二用PRO
224379118576069,太空飞船PRO
224377200398533,候鸟迁徙PRO
380176247862021,多变计数师
375903641948933,随机应变
224378628399301,多彩文字PRO
225191359021253,数字卡片PRO
225525822632453,美术卡片
225191769534981,格子卡片
225525419221509,文字卡片
268008982642772,专注大师_中级
268008982663269,魔术师终极
224376556507589,察颜观色PRO
380173315257221,注意警觉
380174783693701,注意指向
375917961736965,方向检测
375934626087813,色彩检测
