game_id,game_name,col_names
305067065282821,Sandia推理A,"c(""ItemID"", ""NumAlts"", ""CResp"", ""Resp"", ""Device"", ""ACC"", ""Score"", ""RT"")"
268008982667388,按图索骥,"c(""Trial"", ""Type"", ""TargetCoord"", ""RespCoord"", ""Dist"", ""RT"", ""Device"")"
224375977935045,变色魔块PRO,"c(""Block"", ""Trial"", ""Type"", ""Stim"", ""SSD"", ""CResp"", ""Resp"", ""RT"", ""ACC"", ""Device"")"
238239294447813,变戏法,"c(""Trial"", ""TarSide"", ""Dice"", ""TarDur"", ""CResp"", ""Resp"", ""ACC"", ""RT"", ""Device"")"
581948589850949,察颜观色,"c(""Block"", ""Trial"", ""Emotion"", ""Wear"", ""Sex"", ""StimType"", ""TaskType"", ""CResp"", ""Resp"", ""Device"", ""ACC"", ""RT"")"
224376556507589,察颜观色PRO,"c(""Block"", ""Trial"", ""Emotion"", ""Wear"", ""Sex"", ""StimType"", ""TaskType"", ""CResp"", ""Resp"", ""Device"", ""ACC"", ""RT"")"
268008982646874,超级秒表PRO,"c(""Block"", ""Trial"", ""RT"", ""Device"")"
268008982646900,成长型思维量表,"c(""titleLength"", ""ItemID"", ""NumAlts"", ""RT"", ""CResp"", ""Resp"", ""Score"", ""ACC"", ""Device"")"
268008982642811,城市导航,"c(""Trial"", ""NumObject"", ""ObjectID"", ""LocOrigin"", ""RespObjectID"", ""RespObjectLoc"", ""RespLocDist"", ""RT"", ""Device"")"
268008982642811,城市导航,"c(""Trial"", ""NumObject"", ""ObjectID"", ""LocOrigin"", ""RespObjectID"", ""RespObjectLoc"", ""RespLocDist"", ""Outcome"", ""RT"", ""Device"")"
386185817178885,词汇学习,"c(""Phase"", ""List"", ""Resp"", ""ACC"", ""RT"")"
268008982663290,词语判断,"c(""STIM"", ""CResp"", ""Device"", ""Resp"", ""ACC"", ""RT"")"
225528186135045,打靶场,"c(""SLen"", ""CharID"", ""CharType"", ""Arrow"", ""RespChar"", ""DeviceChar"", ""RespArrow"", ""DeviceArrow"", ""AccChar"", ""AccArrow"", ""Outcome"", ""RTChar"", ""RTArrow"")"
268008982650985,登陆月球（中级）,"c(""Number"", ""Resp"", ""RT"", ""Device"")"
383365965255557,电影观看,"c(""Choice"", ""Device"")"
388594665001861,电影回忆任务,"c(""Detail"", ""General"")"
388594665001861,电影回忆任务,"c(""Detail"", ""DetailStr"", ""General"")"
375932568191877,动词产生A,"c(""Noun"", ""Verb"", ""RT"")"
375932921029381,动词产生B,"c(""Noun"", ""Verb"", ""RT"")"
380176247862021,多变计数师,"c(""Block"", ""Trial"", ""Stim"", ""Color"", ""Type"", ""CResp"", ""Resp"", ""ACC"", ""RT"", ""Device"")"
581934263337285,多变计数师,"c(""Block"", ""Trial"", ""Stim"", ""Color"", ""Type"", ""CResp"", ""Resp"", ""ACC"", ""RT"", ""Device"")"
224378628399301,多彩文字PRO,"c(""Trial"", ""Color"", ""Word"", ""Type"", ""CResp"", ""Resp"", ""ACC"", ""RT"", ""Device"")"
375933823447813,多用途A,"c(""Tool"", ""Use"", ""RT"")"
375934244000517,多用途B,"c(""Tool"", ""Use"", ""RT"")"
375917961736965,方向检测,"c(""Trial"", ""NumTarget"", ""NumDist"", ""CResp"", ""Resp"", ""Device"", ""ACC"", ""RT"")"
375917961736965,方向检测,"c(""Block"", ""Trial"", ""NumTarget"", ""CResp"", ""Resp"", ""Device"", ""ACC"", ""RT"")"
268008982642792,方向临摹,"c(""Angle"", ""Length"", ""Resp"", ""ACC"", ""Device"", ""RT"")"
225191769534981,格子卡片,"c(""Block"", ""Trial"", ""Load"", ""Card"", ""Type"", ""CResp"", ""Resp"", ""ACC"", ""RT"", ""Device"")"
268008982667368,各得其所,"c(""Trial"", ""MinMove"", ""From"", ""To"", ""TimeLimit"", ""TimeInit"", ""StepsUsed"", ""Finished"", ""TimeUsed"", ""Device"")"
268008982655087,关系判断B,"c(""ItemID"", ""NumAlts"", ""CResp"", ""Resp"", ""Device"", ""ACC"", ""Score"", ""RT"")"
224383397556421,过目不忘PRO,"c(""SLen"", ""STIM"", ""Resp"", ""Correctness"", ""Device"", ""Outcome"", ""RT"")"
