game_id,game_name,hddm
268008982667388,按图索骥,
268008982642792,方向临摹,
239263721484357,节奏感知,
239263162577477,时间顺序判断,
239264243732549,时长分辨,
268008982646874,超级秒表PRO,
224374703641029,快速归类PRO,simple
375917961736965,方向检测,
375934626087813,色彩检测,
268008982667350,火眼金睛,
238267995484229,雪花收藏家,
268008982667380,舒尔特方格（中级）,
240406295777861,我是大厨,
265086851706949,小狗回家,
268008982659192,一心二用PRO,
268008982663260,萤火虫PRO,
380173315257221,注意警觉,cong
380174783693701,注意指向,cong
268008982642772,专注大师_中级,
268008982667347,捉虫高级简版,
324182449562501,视觉记忆测试,
268008982642811,城市导航,
268008982667358,宇宙黑洞A,
268008982655090,顺背数PRO,
268008982642798,位置记忆PRO,
224383397556421,过目不忘PRO,
375916542735109,万花筒,
279330041741381,欢乐餐厅PRO,
281039429226565,连续再认PRO,
386185817178885,词汇学习,
375917432341381,路径学习,
384311706735365,人工语言-高级,
381576542159749,社交达人,
380173961339781,事件记忆,
268008982655053,塔罗牌,
268008982642793,强化学习,
268008982671439,图片记忆,
268008982655069,言语记忆,
268008982667368,各得其所,
268008982663267,连点成画PRO,
355740871500677,数字推理,
355740333933445,图形推理,
356101783560965,文字推理,
411281158706373,远距离联想,
324179001000709,平面展开,
268008982659144,三维心理旋转测试,
324179964613381,视角判断,
361750352892805,图形折叠,
324177880433541,物体旋转,
224375977935045,变色魔块PRO,
238239294447813,变戏法,simple
224378628399301,多彩文字PRO,cong
224379118576069,太空飞船PRO,cong
224377200398533,候鸟迁徙PRO,cong
224377200398533,候鸟迁徙PRO,switch
380176247862021,多变计数师,switch
224377872388293,卡片分类PRO,switch
375903641948933,随机应变,switch
224376556507589,察颜观色PRO,switch
225191769534981,格子卡片,simple
225525822632453,美术卡片,simple
225191359021253,数字卡片PRO,simple
225525419221509,文字卡片,simple
268008982663269,魔术师终极,simple
268008982663278,蝴蝶照相机,
225528186135045,打靶场,
238279920537669,幸运小球PRO,
386196539900677,井然有序,
268008982667381,密码箱,
268008982663290,词语判断,
268008982667391,声调判断,
268008982650988,语义判断,
322148361573125,阅读判断,
268008982650985,登陆月球（中级）,
268008982655059,数感,
268008982659166,速算师（中级）,
